index,macro_type,structural_type,micro_type,Proposed_RCA_TEDS,GraphTSR_Baseline_TEDS,LORE_Baseline_TEDS
551,Macro: Pure-Matrix,Struct: Single-Row-Header,Micro: Numerical-Short,0.2920353982300885,0.6666666666666667,0.696969696969697
2197,Macro: Pure-Matrix,Struct: Single-Row-Header,Micro: Numerical-Short,0.27692307692307694,0.8333333333333334,0.47619047619047616
1732,Macro: Complex-Irregular,Struct: Single-Row-Header,Micro: Numerical-Short,0.4752475247524752,0.47916666666666663,0.5833333333333333
1448,Macro: Pure-Matrix,Struct: Single-Row-Header,Micro: Numerical-Short,0.36923076923076925,0.41463414634146345,0.2682926829268293
202,Macro: Pure-Matrix,Struct: Single-Row-Header,Micro: Numerical-Short,0.49504950495049505,0.36,0.64
525,Macro: Pure-Matrix,Struct: Single-Row-Header,Micro: Numerical-Short,0.4155844155844156,0.625,0.8421052631578947
1609,Macro: Pure-Matrix,Struct: Single-Row-Header,Micro: Numerical-Short,0.34782608695652173,0.33333333333333337,0.5507246376811594
1290,Macro: Pure-Matrix,Struct: Single-Row-Header,Micro: Numerical-Short,0.1216216216216216,0.5555555555555556,0.41860465116279066
738,Macro: Standard-Spanning,Struct: Single-Row-Header,Micro: Numerical-Short,0.5714285714285714,0.42592592592592593,0.5
2869,Macro: Complex-Irregular,Struct: Single-Row-Header,Micro: Numerical-Short,0.38961038961038963,0.8666666666666667,0.5789473684210527
422,Macro: Pure-Matrix,Struct: Single-Row-Header,Micro: Numerical-Short,0.2043795620437956,0.6071428571428572,1.0
1972,Macro: Standard-Spanning,Struct: Single-Row-Header,Micro: Numerical-Short,0.7708333333333334,0.28125,0.15625
1300,Macro: Pure-Matrix,Struct: Single-Row-Header,Micro: Numerical-Short,0.5094339622641509,0.5116279069767442,0.6511627906976745
495,Macro: Pure-Matrix,Struct: Single-Row-Header,Micro: Numerical-Short,0.25547445255474455,0.34285714285714286,0.4915254237288136
1956,Macro: Complex-Irregular,Struct: Single-Row-Header,Micro: Numerical-Short,0.23199999999999998,0.6206896551724138,0.7931034482758621
251,Macro: Pure-Matrix,Struct: Single-Row-Header,Micro: Numerical-Short,0.31052631578947365,0.17368421052631577,0.19999999999999996
590,Macro: Pure-Matrix,Struct: Single-Row-Header,Micro: Numerical-Short,0.38961038961038963,0.43333333333333335,0.5
412,Macro: Pure-Matrix,Struct: Single-Row-Header,Micro: Numerical-Short,0.5280898876404494,0.3829787234042553,0.4893617021276596
1679,Macro: Pure-Matrix,Struct: Single-Row-Header,Micro: Numerical-Short,0.3267326732673267,0.4545454545454546,0.696969696969697
2073,Macro: Pure-Matrix,Struct: Single-Row-Header,Micro: Numerical-Short,0.41860465116279066,0.627906976744186,0.8431372549019608
