table_id,split,primary_type,secondary_types,stage,severity,struct_f1,struct_precision,struct_recall,horizontal_f1,vertical_f1,edge_FP,edge_FN,cer,wer,cer_numeric,cer_alpha,num_pred_cells,num_gt_cells,pred_rows,pred_cols,gt_rows,gt_cols,ocr_impact,tsr_impact,ocr_attribution,tsr_attribution,auto_label,manual_label,verified,notes,timestamp
1504.01806v1.4,comp,Span Error,,TSR Spanning/Merge,0.16666666666666666,0.7749999999999999,0.8266666666666667,0.7294117647058823,0.759493670886076,0.7901234567901234,13,23,0.0,0.0,0.0,0.0,50,49,10,6,9,6,0.0,0.0,0.0,0.0,Span Error,,False,,2026-02-02T05:55:21.081810
1704.01419v1.3,comp,Table Boundary Error,Pure TSR Error,TSR Grid Detection,0.8651685393258427,0.0,0.0,0.0,0.0,0.0,10,166,0.0,0.0,0.0,0.0,12,89,7,10,9,11,0.0,0.0,0.0,0.0,Table Boundary Error,,False,,2026-02-02T05:55:21.081965
1807.01801v1.6,comp,Table Boundary Error,Pure TSR Error,TSR Grid Detection,0.84,0.0,0.0,0.0,0.0,0.0,2,44,0.0,0.0,0.0,0.0,4,25,3,6,5,6,0.0,0.0,0.0,0.0,Table Boundary Error,,False,,2026-02-02T05:55:21.082035
1807.10267v3.3,comp,Table Boundary Error,Pure TSR Error,TSR Grid Detection,0.8125,0.043478260869565216,0.2222222222222222,0.024096385542168676,0.04761904761904762,0.039999999999999994,7,81,0.0,0.0,0.0,0.0,9,48,8,5,10,5,0.0,0.0,0.0,0.0,Table Boundary Error,,False,,2026-02-02T05:55:21.082105
1211.1658v1.1,comp,Table Boundary Error,Pure TSR Error,TSR Grid Detection,0.8192771084337349,0.012195121951219511,0.07692307692307693,0.006622516556291391,0.0,0.02352941176470588,12,150,0.0,0.0,0.0,0.0,15,83,9,8,11,8,0.0,0.0,0.0,0.0,Table Boundary Error,,False,,2026-02-02T05:55:21.082189
1805.02036v1.2,comp,Table Boundary Error,Pure TSR Error,TSR Grid Detection,0.7272727272727273,0.08823529411764706,0.25,0.05357142857142857,0.0625,0.1111111111111111,9,53,0.0,0.0,0.0,0.0,9,33,3,3,7,5,0.0,0.0,0.0,0.0,Table Boundary Error,,False,,2026-02-02T05:55:21.082249
1603.07016v3.2,comp,Pure TSR Error,"Row Merge/Split,Row/Col Shift",TSR Grid Detection,0.675,0.25,0.3333333333333333,0.2,0.28571428571428575,0.2222222222222222,8,16,0.0,0.0,0.0,0.0,9,12,3,3,4,13,0.0,0.0,0.0,0.0,Pure TSR Error,,False,,2026-02-02T05:55:21.082293
1612.01693v3.7,comp,Table Boundary Error,Pure TSR Error,TSR Grid Detection,0.928,0.016666666666666666,0.16666666666666666,0.008771929824561403,0.03508771929824561,0.0,10,226,0.0,0.0,0.0,0.0,9,125,3,3,27,5,0.0,0.0,0.0,0.0,Table Boundary Error,,False,,2026-02-02T05:55:21.082405
1509.03611v2.2,comp,Table Boundary Error,Pure TSR Error,TSR Grid Detection,0.75,0.02666666666666667,0.08333333333333333,0.015873015873015872,0.0,0.05263157894736842,11,62,0.0,0.0,0.0,0.0,9,36,3,3,5,8,0.0,0.0,0.0,0.0,Table Boundary Error,,False,,2026-02-02T05:55:21.082463
1105.0728v2.6,comp,Table Boundary Error,Pure TSR Error,TSR Grid Detection,0.9117647058823529,0.019704433497536946,0.16666666666666666,0.010471204188481676,0.0198019801980198,0.0196078431372549,10,189,0.0,0.0,0.0,0.0,9,102,3,3,19,6,0.0,0.0,0.0,0.0,Table Boundary Error,,False,,2026-02-02T05:55:21.082597
1606.04473v1.2,comp,Pure TSR Error,Table Boundary Error,TSR Grid Detection,0.858139534883721,0.046511627906976744,0.08333333333333333,0.03225806451612903,0.0,0.08333333333333333,11,30,0.0,0.0,0.0,0.0,9,20,3,3,7,3,0.0,0.0,0.0,0.0,Pure TSR Error,,False,,2026-02-02T05:55:21.082667
