table_id,primary_type,secondary_types,stage,severity,struct_f1,cer,num_pred_cells,num_gt_cells,timestamp
1504.01806v1.4,Pure TSR Error,,TSR Grid Detection,0.30839160839160834,0.6573426573426574,0.0,45,49,2026-02-02T06:09:51.803748
1704.01419v1.3,Row Merge/Split,,TSR Grid Detection,0.59375,0.8947368421052633,0.0,82,89,2026-02-02T06:09:51.859216
1807.01801v1.6,Row Merge/Split,,TSR Grid Detection,0.7272727272727273,0.8607594936708862,0.0,23,25,2026-02-02T06:09:51.902151
1807.10267v3.3,Unknown,,Unknown,0.14482758620689662,0.8551724137931034,0.0,41,48,2026-02-02T06:09:51.944263
1211.1658v1.1,Span Error,,TSR Spanning/Merge,0.11666666666666667,0.7794117647058822,0.0,78,83,2026-02-02T06:09:52.012586
1805.02036v1.2,Row Merge/Split,"Row/Col Shift,Pure TSR Error",TSR Grid Detection,0.4418604651162791,0.5567010309278351,0.0,32,33,2026-02-02T06:09:52.077866
1603.07016v3.2,Row/Col Shift,Pure TSR Error,Cell Assignment,0.4117647058823529,0.4848484848484849,0.0,12,12,2026-02-02T06:09:52.144929
1612.01693v3.7,Span Error,,TSR Spanning/Merge,0.018867924528301886,0.872289156626506,0.0,115,125,2026-02-02T06:09:52.226328
1509.03611v2.2,Row Merge/Split,,TSR Grid Detection,0.5833333333333334,0.7735849056603774,0.0,31,36,2026-02-02T06:09:52.272428
1105.0728v2.6,Pure TSR Error,,TSR Grid Detection,0.317142857142857,0.6476190476190478,0.0,92,102,2026-02-02T06:09:52.323282
1606.04473v1.2,Row Merge/Split,,TSR Grid Detection,0.6,0.8214285714285714,0.0,19,20,2026-02-02T06:09:52.375457
1803.08251v1.2,Row Merge/Split,,TSR Grid Detection,0.8333333333333334,0.8846153846153846,0.0,33,35,2026-02-02T06:09:52.419064
1701.03924v1.18,Row Merge/Split,Pure TSR Error,TSR Grid Detection,0.6666666666666666,0.5423728813559321,0.0,19,22,2026-02-02T06:09:52.457686
1503.06610v1.2,Row Merge/Split,,TSR Grid Detection,0.5769230769230769,0.8522727272727273,0.0,51,54,2026-02-02T06:09:52.506166
1607.05529v1.2,Row Merge/Split,,TSR Grid Detection,0.5777777777777777,0.8680351906158358,0.0,92,102,2026-02-02T06:09:52.557890
1607.03255v1.1,Col Merge/Split,,TSR Grid Detection,0.5806451612903226,0.8956228956228957,0.0,82,87,2026-02-02T06:09:52.602376
1801.05400v1.5,Row Merge/Split,Pure TSR Error,TSR Grid Detection,0.4375,0.550561797752809,0.0,53,59,2026-02-02T06:09:52.631055
1705.05756v1.3,Pure TSR Error,Table Boundary Error,TSR Grid Detection,0.7875,0.125,0.0,11,16,2026-02-02T06:09:52.664490
1708.05592v1.7,Pure TSR Error,,TSR Grid Detection,0.66,0.26666666666666666,0.0,39,42,2026-02-02T06:09:52.707867
1410.5605v3.2,Row Merge/Split,,TSR Grid Detection,0.5227272727272727,0.7471264367816093,0.0,49,56,2026-02-02T06:09:52.765208
