image,n_span,n_nonspan,mean_iou_span,mean_iou_nonspan,gap
PMC1574349_table_2,4,42,0.9622288197278976,0.06684053489672286,-0.8953882848311748
PMC1716159_table_2,4,53,0.6653004288673401,0.04546521512686082,-0.6198352137404792
PMC1991593_table_1,4,108,0.6440650075674057,0.03722077299358649,-0.6068442345738192
PMC2222642_table_2,2,383,0.4999181628227234,0.030278971799291846,-0.46963919102343155
PMC2375039_table_3,4,66,0.8844262212514877,0.04839771906986381,-0.836028502181624
PMC2429899_table_2,4,14,0.8078487068414688,0.19979610254189797,-0.6080526042995709
PMC2442060_table_1,2,119,0.9289920628070831,0.034620214887589464,-0.8943718479194936
PMC2645367_table_1,2,31,0.8016346096992493,0.09507838059817592,-0.7065562291010734
PMC2657832_table_0,8,142,0.9117701500654221,0.018336105267812406,-0.8934340447976097
PMC2738651_table_0,2,20,0.9712871611118317,0.16847066519294457,-0.802816495918887
PMC2780732_table_5,3,55,0.8732160727183024,0.0510356087914922,-0.8221804639268102
PMC2791217_table_0,7,91,0.9204822097505841,0.039217025051814514,-0.8812651846987696
PMC2829006_table_3,2,35,0.9389804601669312,0.16179972534633374,-0.7771807348205975
PMC2855517_table_0,10,90,0.8928720235824585,0.06996562858629558,-0.8229063949961629
PMC2881019_table_0,1,85,0.9566488265991211,0.1444382047828506,-0.8122106218162705
PMC2883601_table_0,4,172,0.7879596203565598,0.017073827048460413,-0.7708857933080994
PMC2906470_table_0,3,22,0.9505711992581686,0.15948962369425732,-0.7910815755639112
PMC2935123_table_2,3,66,0.8727572361628214,0.10304328579116952,-0.7697139503716519
PMC2988804_table_0,11,121,0.8725021915002302,0.05047410279358468,-0.8220280887066456
PMC3000372_table_0,7,53,0.8682180728231158,0.061700869316481194,-0.8065172035066346
PMC3017779_table_1,3,31,0.9473033746083578,0.13090100656864384,-0.8164023680397139
PMC3019106_table_3,16,514,0.6614244692027569,0.009281747189897624,-0.6521427220128593
PMC3020960_table_0,7,210,0.8897827693394252,0.0209340852640924,-0.8688486840753329
PMC3033815_table_1,3,29,0.3057722846666972,0.09656691780024819,-0.20920536686644903
PMC3034664_table_2,2,162,0.9230360090732574,0.018841306569721595,-0.9041947025035358
PMC3035247_table_0,2,34,0.8927765488624573,0.18222112055210507,-0.7105554283103522
PMC3042417_table_2,3,29,0.935849924882253,0.08133623946923763,-0.8545136854130154
