image,has_span,n_gt_rows,n_gt_cols,n_gt_spans,row_mean_iou,row_recall,row_precision,row_f1,col_mean_iou,col_recall,col_precision,col_f1,span_mean_iou,span_recall,span_precision,span_f1,cell_mean_iou,cell_recall,cell_precision,cell_f1,span_cell_mean_iou,span_cell_recall,span_cell_f1,nonspan_cell_mean_iou,nonspan_cell_recall,nonspan_cell_f1,n_gt_cells,n_pred_cells
PMC1087493_table_2,False,7,4,0,0.9419941135815212,1.0,1.0,1.0,0.9759356677532196,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9352391638926097,1.0,1.0,1.0,0.0,0.0,0.0,0.9352391638926097,1.0,1.0,28,28
PMC1199598_table_2,False,7,4,0,0.9109145743506295,1.0,1.0,1.0,0.9628012180328369,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8879378374133792,1.0,1.0,1.0,0.0,0.0,0.0,0.8879378374133792,1.0,1.0,28,28
PMC1459153_table_2,False,9,13,0,0.8020692070325216,1.0,0.9,0.9473684210526316,0.859209459561568,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.7028030050106537,0.9230769230769231,0.8307692307692308,0.8744939271255062,0.0,0.0,0.0,0.7028030050106537,0.9230769230769231,0.8744939271255062,117,130
PMC1526722_table_3,False,11,4,0,0.9605619961565192,1.0,1.0,1.0,0.9726427346467972,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9548449556935917,1.0,1.0,1.0,0.0,0.0,0.0,0.9548449556935917,1.0,1.0,44,44
PMC1574349_table_2,True,10,5,4,0.9284880518913269,1.0,1.0,1.0,0.9654244661331177,1.0,1.0,1.0,0.9622288197278976,1.0,1.0,1.0,0.9006653557653013,1.0,1.0,1.0,0.9622288197278976,1.0,1.0,0.8948021687212444,1.0,1.0,46,46
PMC1716159_table_2,True,8,8,4,0.9716751351952553,1.0,1.0,1.0,0.9336853176355362,1.0,1.0,1.0,0.6653004288673401,0.75,1.0,0.8571428571428571,0.9184145456866214,1.0,1.0,1.0,0.8022715002298355,1.0,1.0,0.9271800585512845,1.0,1.0,57,57
PMC1894800_table_1,False,14,2,0,0.8639540416853768,1.0,0.9333333333333333,0.9655172413793104,0.9828485250473022,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8654057915721621,1.0,0.9333333333333333,0.9655172413793104,0.0,0.0,0.0,0.8654057915721621,1.0,0.9655172413793104,28,30
PMC1978541_table_1,False,9,7,0,0.7873857087559171,0.8888888888888888,1.0,0.9411764705882353,0.9692229202815464,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.7694800562328763,0.8888888888888888,1.0,0.9411764705882353,0.0,0.0,0.0,0.7694800562328763,0.8888888888888888,0.9411764705882353,63,56
PMC1991593_table_1,True,17,7,4,0.9291016880203696,1.0,1.0,1.0,0.9560716322490147,1.0,1.0,1.0,0.6440650075674057,0.75,1.0,0.8571428571428571,0.9055279054279838,0.9910714285714286,0.9823008849557522,0.9866666666666667,0.7673888429999352,0.75,0.75,0.910644166999393,1.0,1.0,112,113
PMC2198944_table_0,False,11,4,0,0.9619101285934448,1.0,1.0,1.0,0.977299153804779,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9549816359173168,1.0,1.0,1.0,0.0,0.0,0.0,0.9549816359173168,1.0,1.0,44,44
PMC2217513_table_2,False,5,7,0,0.9470908522605896,1.0,1.0,1.0,0.9613929986953735,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9319013289042881,1.0,1.0,1.0,0.0,0.0,0.0,0.9319013289042881,1.0,1.0,35,35
PMC2222642_table_2,True,49,8,2,0.6537362294537681,0.6938775510204082,0.6181818181818182,0.6538461538461539,0.9596259221434593,1.0,1.0,1.0,0.4999181628227234,0.5,0.3333333333333333,0.4,0.6474105517585557,0.6857142857142857,0.6,0.64,0.4400100111961365,0.5,0.5,0.6484935833019625,0.6866840731070496,0.6414634146341464,385,440
PMC2364615_table_2,False,12,7,0,0.9279641856749853,1.0,1.0,1.0,0.9495402659688678,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8968681941429774,1.0,1.0,1.0,0.0,0.0,0.0,0.8968681941429774,1.0,1.0,84,84
PMC2375039_table_3,True,7,11,4,0.8710512348583767,1.0,1.0,1.0,0.9106458154591647,1.0,1.0,1.0,0.8844262212514877,1.0,1.0,1.0,0.8180324222360339,1.0,1.0,1.0,0.8844262212514877,1.0,1.0,0.8140085556290366,1.0,1.0,70,70
PMC2429899_table_2,True,3,8,4,0.5291419823964437,0.6666666666666666,1.0,0.8,0.9574744924902916,1.0,1.0,1.0,0.8078487068414688,1.0,0.8,0.888888888888889,0.37696513533592224,0.5555555555555556,0.9090909090909091,0.6896551724137931,0.8078487068414688,1.0,1.3333333333333333,0.25385554347719463,0.42857142857142855,0.5454545454545454,18,11
PMC2442060_table_1,True,13,10,2,0.922181134040539,1.0,1.0,1.0,0.8701816320419311,1.0,1.0,1.0,0.9289920628070831,1.0,1.0,1.0,0.8276884358776503,1.0,1.0,1.0,0.9289920628070831,1.0,1.0,0.8259858539124497,1.0,1.0,121,121
PMC2529315_table_0,False,23,5,0,0.7741161066552867,0.9565217391304348,1.0,0.9777777777777777,0.9711283564567565,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.7582787119823954,0.9565217391304348,1.0,0.9777777777777777,0.0,0.0,0.0,0.7582787119823954,0.9565217391304348,0.9777777777777777,115,110
PMC2628669_table_0,False,16,5,0,0.8569080270826817,1.0,1.0,1.0,0.9762165546417236,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8451496541500092,1.0,1.0,1.0,0.0,0.0,0.0,0.8451496541500092,1.0,1.0,80,80
PMC2630331_table_0,False,14,2,0,0.9509020575455257,1.0,1.0,1.0,0.967958003282547,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9302520219768796,1.0,1.0,1.0,0.0,0.0,0.0,0.9302520219768796,1.0,1.0,28,28
PMC2636750_table_1,False,9,9,0,0.7025062905417548,0.7777777777777778,0.875,0.823529411764706,0.9380397068129646,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6731064378479381,0.7777777777777778,0.875,0.823529411764706,0.0,0.0,0.0,0.6731064378479381,0.7777777777777778,0.823529411764706,81,72
PMC2645367_table_1,True,5,8,2,0.8627564072608948,1.0,0.8333333333333334,0.9090909090909091,0.8882858902215958,1.0,1.0,1.0,0.8016346096992493,1.0,1.0,1.0,0.8315009474754333,1.0,0.825,0.9041095890410958,0.8016346096992493,1.0,1.0,0.8334278079771227,1.0,0.911764705882353,33,40
PMC2657832_table_0,True,13,13,8,0.9533608830892123,1.0,1.0,1.0,0.9337562826963571,1.0,1.0,1.0,0.9117701500654221,1.0,0.8,0.888888888888889,0.9096658917268118,1.0,0.9868421052631579,0.9933774834437086,0.9117701500654221,1.0,1.0,0.9095473419612562,1.0,0.9964912280701755,150,152
PMC2689181_table_1,False,20,3,0,0.9366929024457932,1.0,1.0,1.0,0.9599321087201437,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9101401348908742,1.0,1.0,1.0,0.0,0.0,0.0,0.9101401348908742,1.0,1.0,60,60
PMC2699101_table_2,False,2,11,0,0.7348565459251404,1.0,1.0,1.0,0.6357344714078036,0.8181818181818182,0.75,0.7826086956521738,0.0,1.0,1.0,1.0,0.6136070435697382,0.6818181818181818,0.625,0.6521739130434783,0.0,0.0,0.0,0.6136070435697382,0.6818181818181818,0.6521739130434783,22,24
PMC2700066_table_1,False,9,9,0,0.9213189350234138,1.0,1.0,1.0,0.9353274835480584,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8716041372146135,1.0,1.0,1.0,0.0,0.0,0.0,0.8716041372146135,1.0,1.0,81,81
